dataname	setting	intra	inter	silhouette	centroid_silhouette
d1	beta_0.01__k_10	0.6697158314562716	0.8957560002812999	0.14692105119199714	0.16000855916122972
d1	beta_0.1__k_20	0.640500994215046	0.9031698308572739	0.16099598428784118	0.17907972819110857
d1	beta_0.01__k_50	0.6013862879823288	0.9052245756495388	0.16209132343042532	0.1897343808821256
d1	beta_0.02__k_100	0.5544802923976491	0.9048293370778315	0.18128499970710724	0.20149386592067775
d1	beta_0.05__k_50	0.6017784377793632	0.9072494086354622	0.15932015546895129	0.19200180980221646
d1	beta_0.1__k_50	0.5897189409783995	0.9033300208521732	0.1793409802059757	0.20184252652249582
d1	beta_0.02__k_50	0.5889126672343054	0.8965628005880726	0.165371716013049	0.18552071712155635
d1	beta_0.02__k_20	0.6468571800650489	0.9019298583535896	0.13460405779359186	0.16170087559116528
d1	beta_0.05__k_20	0.6422151223619359	0.8801388352837369	0.12839299421022743	0.1510037988254329
d1	beta_0.02__k_10	0.6706128898728521	0.8777620233045701	0.13572291992169694	0.15016324749008386
d1	beta_0.1__k_100	0.549477038737512	0.9119137685396587	0.1963810700022534	0.20866919057616665
d1	beta_0.05__k_100	0.5526101529386003	0.9085675898013629	0.18077083004908046	0.20997807040284996
d1	beta_0.01__k_100	0.5496330588975004	0.8998496192930575	0.17796120471727214	0.20069725596795138
d1	beta_0.01__k_20	0.6376747700353604	0.8944146549058877	0.14461573995460522	0.16087273166442081
d1	beta_0.05__k_10	0.6692276880355277	0.8854539054935193	0.14835181908113704	0.15642420839741084
d1	beta_0.1__k_10	0.6749178161655702	0.8892257167533457	0.1498692753983927	0.1667345662832564
d2	beta_0.01__k_10	0.6198396964319195	0.8694298138517538	0.16715032761930612	0.1814797468987717
d2	beta_0.1__k_20	0.571998563055668	0.8761309207353506	0.18184871555653703	0.1895572348540151
d2	beta_0.01__k_50	0.5126968646742955	0.879372035315322	0.18907307184086886	0.20456153984790845
d2	beta_0.02__k_100	0.47778682019328633	0.883361569174563	0.21059706822528787	0.22213012844636257
d2	beta_0.05__k_50	0.5179853151494719	0.8811146337588224	0.20929031292298525	0.21353164361791493
d2	beta_0.1__k_50	0.5257123646793498	0.8861207437001671	0.1916428643264212	0.2150180793800637
d2	beta_0.02__k_50	0.5145166780545892	0.8739437966108277	0.18968125655475584	0.20285333342932843
d2	beta_0.02__k_20	0.5751498712657842	0.8822282803362801	0.1879209867426041	0.20433176387219162
d2	beta_0.05__k_20	0.5786461975554926	0.8832187723795247	0.17069979232503915	0.17781186949749073
d2	beta_0.02__k_10	0.6215037766945813	0.8727527565119751	0.16915155209038785	0.18750725298054421
d2	beta_0.1__k_100	0.47425846712237824	0.8844698424312754	0.21818052126991402	0.2342976392131361
d2	beta_0.05__k_100	0.4832357101247068	0.8763141913757997	0.21089402611225488	0.22125087141047164
d2	beta_0.01__k_100	0.4773554354082724	0.8809475401783514	0.21510892060534662	0.2293318551453708
d2	beta_0.01__k_20	0.5766580330687717	0.874398400089186	0.1590428227636756	0.18272605601083763
d2	beta_0.05__k_10	0.624090203837246	0.8589011928233148	0.14425132105985594	0.16500923848903185
d2	beta_0.1__k_10	0.6180751530636809	0.8666089919432524	0.1726935225418016	0.1902715639440714
d3	beta_0.01__k_10	0.6859448667217182	0.9088614232281165	0.14649983606156763	0.15557362334666455
d3	beta_0.1__k_20	0.6433237479291932	0.9075472433297851	0.1476461795528708	0.16243717590200452
d3	beta_0.01__k_50	0.5910806482338146	0.9172530307314654	0.17157920823360343	0.18565820691416174
d3	beta_0.02__k_100	0.5467292016629673	0.9242001923199616	0.19024262015923843	0.20043569222076107
d3	beta_0.05__k_50	0.5889996335051734	0.9194926210215078	0.18061312203581426	0.19459557047637827
d3	beta_0.1__k_50	0.5853412443023273	0.9230774084929744	0.1835697582343897	0.1967593855990684
d3	beta_0.02__k_50	0.5794447894218748	0.9235487891472358	0.19014621404535448	0.1990153077804428
d3	beta_0.02__k_20	0.6426865532909057	0.9204689624705589	0.18285013864000157	0.19058471014132822
d3	beta_0.05__k_20	0.6387806776485344	0.918406042931732	0.17305370582279805	0.1859951724174985
d3	beta_0.02__k_10	0.6802905028048791	0.9063725877815068	0.16175954629913944	0.1690979028173923
d3	beta_0.1__k_100	0.5452297672572654	0.9232857031249107	0.18351062670298288	0.19574440247989988
d3	beta_0.05__k_100	0.5511050991229888	0.9216964760898828	0.18808260155082052	0.20246858333438716
d3	beta_0.01__k_100	0.5483939620899986	0.9230270188185704	0.18304108062393068	0.19397413491555093
d3	beta_0.01__k_20	0.6424248252093636	0.9125003520531746	0.1610094979617729	0.1733570987028171
d3	beta_0.05__k_10	0.6788439754858013	0.9075929289235225	0.16689582366198458	0.17947666477608665
d3	beta_0.1__k_10	0.6793728935578714	0.9104994958066666	0.1636435915653153	0.17323362100635317
d4	beta_0.01__k_10	0.24129150580699826	0.29063166836255605	0.0530663620840918	0.034041165425698135
d4	beta_0.1__k_20	0.23971954277624502	0.2883971423972694	0.046959717010679296	0.028235055503129335
d4	beta_0.01__k_50	0.23569804259940738	0.2866906712701449	0.026083773618929867	-0.033871601056475235
d4	beta_0.02__k_100	0.23554570710502928	0.2862335373738307	0.006460265955267512	-0.08142293968809487
d4	beta_0.05__k_50	0.23572271107261888	0.28672303150222006	0.025849035626252497	-0.029167000348386294
d4	beta_0.1__k_50	0.23675918128021817	0.2873418842833842	0.02676615805172965	-0.01862303219753426
d4	beta_0.02__k_50	0.23620850313042713	0.28639163840043796	0.024155253495097492	-0.044936101891697125
d4	beta_0.02__k_20	0.2409695885963835	0.2855648978704108	0.03750397093200314	0.01847305246727135
d4	beta_0.05__k_20	0.23973886172633177	0.28641380115590664	0.04011907257150807	0.011268170517579564
d4	beta_0.02__k_10	0.23931172317731317	0.2932437278147421	0.062069228303675825	0.03569660672972118
d4	beta_0.1__k_100	0.23620486252716064	0.2857816058535337	0.013802773155620411	-0.06872828684385457
d4	beta_0.05__k_100	0.2357032425616783	0.2865838916729195	0.011256379118247168	-0.0708102411410343
d4	beta_0.01__k_100	0.2355371776384894	0.2865395552328419	0.008025859652975344	-0.0704884536719868
d4	beta_0.01__k_20	0.23900199816318124	0.28898551207419115	0.042877335321472025	0.018016813829789355
d4	beta_0.05__k_10	0.24432246307723215	0.2865668389406113	0.051304729322950764	0.044415140230388776
d4	beta_0.1__k_10	0.24215782879960351	0.28965606401339156	0.0669131143058627	0.046625381948718625
d5	beta_0.01__k_10	0.7860845075757212	0.9228953865692652	0.08977391127992376	0.09273039791252292
d5	beta_0.1__k_20	0.7616913084684007	0.9267906511437325	0.09843960759162197	0.10450298140370931
d5	beta_0.01__k_50	0.7184104533968456	0.9322334040814827	0.1286209663036773	0.13506908556479552
d5	beta_0.02__k_100	0.6814466142864642	0.9383617012927363	0.15319034538207038	0.1606072947586953
d5	beta_0.05__k_50	0.7227699559565177	0.9317464218584914	0.12508251110504048	0.13157236328313884
d5	beta_0.1__k_50	0.7194445277169953	0.931600966891485	0.12526773911914826	0.1315719018440958
d5	beta_0.02__k_50	0.720992738974835	0.9314848812683615	0.13150366043484868	0.13833841915229028
d5	beta_0.02__k_20	0.7617755585758436	0.9271257949411834	0.10204823566109344	0.1069753596403953
d5	beta_0.05__k_20	0.7655989695359359	0.9224949379273318	0.09262432407314758	0.0984834745558054
d5	beta_0.02__k_10	0.7924903837529051	0.9137647129930653	0.0756228038244833	0.0812480308861674
d5	beta_0.1__k_100	0.6843402715274814	0.9385833314589895	0.14504348713750045	0.15338150696072445
d5	beta_0.05__k_100	0.6823463584550562	0.9370161181269834	0.14566234644965914	0.15484289275020752
d5	beta_0.01__k_100	0.6817721052403983	0.9383602957712737	0.14938614243218346	0.15759109368324456
d5	beta_0.01__k_20	0.7641941592518109	0.9224779233869214	0.10007765795352162	0.10486289995829792
d5	beta_0.05__k_10	0.7852458460067985	0.9262513541598437	0.08856603552211698	0.09280337575192743
d5	beta_0.1__k_10	0.788559406637033	0.920802294550819	0.07948624550678149	0.08412397636981869
d6	beta_0.01__k_10	0.5777495776839174	0.8015841389932253	0.10443248533423215	0.11994826649378958
d6	beta_0.1__k_20	0.5563829522656806	0.7949615584547324	0.1098010603882459	0.11491623808634688
d6	beta_0.01__k_50	0.5298398866768634	0.7985824356108582	0.10485730701299943	0.1043474641799901
d6	beta_0.02__k_100	0.5119879408441799	0.810899640174378	0.07789822391824246	0.0761977978438336
d6	beta_0.05__k_50	0.5294928878479042	0.8002869254603372	0.0854545148073582	0.08703421464857164
d6	beta_0.1__k_50	0.5290115999929784	0.8065769085711557	0.08654390320570579	0.08846393256876067
d6	beta_0.02__k_50	0.529056674945326	0.8032537153372611	0.09039466754673561	0.09164970044627559
d6	beta_0.02__k_20	0.5564099408936785	0.7940533517174256	0.12249907032885297	0.13144961467325628
d6	beta_0.05__k_20	0.5561123157495124	0.7969607474058186	0.10312540418547779	0.11073746934839249
d6	beta_0.02__k_10	0.5844836366913659	0.7861543999383135	0.15575658154614486	0.1687009626920119
d6	beta_0.1__k_100	0.5132502264753604	0.8147263087833897	0.07722199609399129	0.0765408143306241
d6	beta_0.05__k_100	0.5119633683765843	0.8132816616466882	0.0812099747699453	0.08111725736261281
d6	beta_0.01__k_100	0.5122505061155002	0.8073290861479457	0.0848844931748976	0.08404382143032406
d6	beta_0.01__k_20	0.5556631927372806	0.7881699883475928	0.11879207835775313	0.12362525726328315
d6	beta_0.05__k_10	0.5768366016493666	0.788464151193832	0.11935364522313431	0.1258147019103646
d6	beta_0.1__k_10	0.5797775751393895	0.7938114284441412	0.1412315239730963	0.1545584000986312
d7	beta_0.01__k_10	0.5017521554295051	0.6129619487268074	0.07343763589945713	0.08640277562984901
d7	beta_0.1__k_20	0.4856150985639711	0.6509156219042024	0.05642582161398438	0.0615584821564285
d7	beta_0.01__k_50	0.4774969461885362	0.6250427336280928	0.04047365613658627	0.03460548465080863
d7	beta_0.02__k_100	0.47285083134341066	0.6176840611444026	0.02481324719379234	0.005436846319131833
d7	beta_0.05__k_50	0.4765144675402289	0.624663941958608	0.04216872166848987	0.03253101298054714
d7	beta_0.1__k_50	0.4785733089092762	0.6226444043896041	0.038859345276710075	0.029114330034910124
d7	beta_0.02__k_50	0.4791467576705097	0.6239594079490506	0.038333072465566144	0.028049599122328447
d7	beta_0.02__k_20	0.4883013772967253	0.6307788377903056	0.05941407264188018	0.061895872530012025
d7	beta_0.05__k_20	0.4895073050494035	0.625506466763915	0.051931578783278864	0.05765998674820016
d7	beta_0.02__k_10	0.49825464911112544	0.6513033403046518	0.07472653692412641	0.07904135122233907
d7	beta_0.1__k_100	0.47189598257674015	0.6207185617669798	0.023507412339188214	0.0025900226599236114
d7	beta_0.05__k_100	0.47261931860961837	0.6172490428081371	0.026100104637012934	0.007385565800242656
d7	beta_0.01__k_100	0.4720480067930341	0.6164736061029737	0.02405390815922656	0.0014505569703200897
d7	beta_0.01__k_20	0.49000336170859565	0.6285178673521801	0.0646806016432364	0.0668130340450934
d7	beta_0.05__k_10	0.49981850452821663	0.6664344715358367	0.07605175707958282	0.08346622988462106
d7	beta_0.1__k_10	0.49671632637610025	0.6561197041966582	0.07772376388732491	0.08617150940920512
