dataname	setting	intra	inter	silhouette
d2	alpha_10__k_20	0.5813420333228415	0.8699056472664332	0.14560333355901475
d2	alpha_5__k_20	0.5749186635784777	0.8835346410991091	0.19071056508210688
d2	kmeanspp_10__k_10	0.61232055604196	0.8624814116668087	0.167943637691434
d2	kmeanspp_10__k_100	0.47935748146328133	0.8801310860091744	0.21198157057228828
d2	kmeanspp_10__k_20	0.5710164987997252	0.8779457386044537	0.1723875271626084
d2	alpha_3__k_10	0.6265194279447321	0.8664030255283063	0.15990130634482275
d3	alpha_1.5__k_50	0.5872050312119088	0.921009878677562	0.19314054684765863
d3	alpha_5__k_100	0.5484882127727528	0.9203072058315521	0.17239834631689416
d3	alpha_1.5__k_10	0.6802196252582698	0.9029808053833305	0.15391886913033423
d3	alpha_5__k_10	0.6762717516374561	0.9094061283672019	0.17160026993016012
d3	alpha_1.5__k_100	0.5455130302526188	0.9216792697483125	0.18284190865466984
d3	alpha_10__k_100	0.5519069913022736	0.9217580464409408	0.18121880983413516
d3	alpha_3__k_20	0.6398731228295245	0.9079098046838167	0.16856733294066167
d3	alpha_3__k_50	0.5887140991893347	0.9175325816987084	0.176270392685104
d3	alpha_10__k_10	0.6823747812177307	0.9059518134970053	0.14957277046741788
d3	kmeanspp_10__k_50	0.5820460982402853	0.9196334160750158	0.16950404974428654
d3	alpha_5__k_50	0.5873104319492727	0.9205121323596058	0.17371694520937817
d3	alpha_10__k_50	0.5849731150093322	0.9208802217853282	0.18299806845533798
d3	alpha_3__k_100	0.5496464327594937	0.919905395688441	0.18328620052951383
d3	alpha_1.5__k_20	0.6355741533708706	0.9094771244129877	0.17267046132025052
d3	alpha_10__k_20	0.6399100353505094	0.9133593569723312	0.16570167620576387
d3	alpha_5__k_20	0.6517817460948077	0.9172548072541582	0.17217816143848758
d3	kmeanspp_10__k_10	0.682617739250506	0.9062033445574169	0.1471702075277476
d3	kmeanspp_10__k_100	0.5488284502860407	0.9202454140554713	0.17850883720270055
d3	kmeanspp_10__k_20	0.6331742765106372	0.9145090375767919	0.17120780641059638
d3	alpha_3__k_10	0.6830048477932424	0.9104414986172814	0.16222966097175903
d4	alpha_1.5__k_50	0.23507258650403265	0.2882150106353325	0.021099125626894265
d4	alpha_5__k_100	0.23607826057341383	0.28533219068321897	0.008498695872466277
d4	alpha_1.5__k_10	0.24062217998734808	0.2916377752537082	0.0605302678906041
d4	alpha_5__k_10	0.2438739603472083	0.28715942346102236	0.0466710247694418
d4	alpha_1.5__k_100	0.23600186577504745	0.2851209370984951	0.00896831126341696
d4	alpha_10__k_100	0.23626082643177443	0.28531567635498634	0.011589830209572438
d4	alpha_3__k_20	0.23780714179683396	0.2889440123690569	0.043397756359515545
d4	alpha_3__k_50	0.23671967439625258	0.28540151852681156	0.02634804789107916
d4	alpha_10__k_10	0.24316301210987162	0.2850996889842712	0.049808502967187245
d4	kmeanspp_10__k_50	0.23531798848277513	0.28763141887901117	0.022965534538990088
d4	alpha_5__k_50	0.23648281546456285	0.28681636982655395	0.022633353081932386
d4	alpha_10__k_50	0.23646354056985622	0.28649557022985767	0.02216411422102234
d4	alpha_3__k_100	0.23599656500184094	0.2851791714602022	0.008718509289295052
d4	alpha_1.5__k_20	0.23991073714913733	0.2865184449118156	0.042198149085542924
d4	alpha_10__k_20	0.23688973464401233	0.29254311481959483	0.03803343935807632
d4	alpha_5__k_20	0.23894349988767438	0.288667674148228	0.03570143448803462
d4	kmeanspp_10__k_10	0.2430459389835294	0.28916528164262073	0.04881232339521599
d4	kmeanspp_10__k_100	0.23479918800245073	0.28738911485596724	0.011617985734693205
d4	kmeanspp_10__k_20	0.24145712338159706	0.2846393783701343	0.037961590034558505
d4	alpha_3__k_10	0.24305662816956594	0.28622099360287995	0.05210226929068413
d5	alpha_1.5__k_50	0.7209433860744547	0.9292792486911524	0.12741558294085956
d5	alpha_5__k_100	0.6840477500321414	0.9372474539719419	0.15055444600740428
d5	alpha_1.5__k_10	0.7884192235336106	0.9240037955340089	0.08762497312897857
d5	alpha_5__k_10	0.7933255515879789	0.9168887894240324	0.07764910843050576
d5	alpha_1.5__k_100	0.6847239764360259	0.9370668016626774	0.144516935460824
